"","Scenario","Unit","Region","Variable","Year","Value"
"232","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2006,0
"233","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2007,0
"234","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2008,0
"235","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2009,2.15207831299714
"236","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2010,4.46390568233625
"237","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2011,10.1603954670435
"238","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2012,11.8314503818523
"239","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2013,15.6049957751305
"240","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2014,15.3798502918048
"241","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2015,13.7060096730257
"242","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2016,15.8746306976981
"243","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2017,16.0102903691664
"244","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2018,16.6590001529108
"245","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2019,16.292369452381
"246","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2020,16.1101469416419
"247","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2021,16.349821921183
"248","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2022,19.1402831342189
"249","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2023,19.5913111480488
"250","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2024,18.7987128787729
"251","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2025,18.8101352949338
"252","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2026,19.0738631674628
"253","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2027,18.9312403191872
"254","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2028,19.2016488855915
"255","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2029,18.9978919685004
"256","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2030,19.3169628115204
"257","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2031,19.3284788657415
"258","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2032,19.3225346328866
"259","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2033,19.5980455051296
"260","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2034,19.9266196031681
"261","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2035,20.2504225634084
"262","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2036,20.6124112423438
"263","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2037,20.9996211832466
"264","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2038,21.4558949077863
"265","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2039,21.9867063432508
"266","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2040,22.4645499975931
"267","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2041,22.5644682497657
"268","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2042,22.6148004202216
"269","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2043,22.9593142119287
"270","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2044,23.3909126199571
"271","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2045,23.8651170843869
"272","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2046,24.3854554647215
"273","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2047,24.9535000438911
"274","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2048,25.5590998649288
"275","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2049,26.2018450730149
"276","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Shale",2050,26.8816270986303
"277","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Coalbed Methane",2005,8.26851141309426
"278","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Coalbed Methane",2006,15.8291023284921
"279","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Coalbed Methane",2007,20.3881103336571
"280","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Coalbed Methane",2008,22.0871195281285
